Date|Time: 2024-06-19|15:22:43  |||  3 Sensors acitve  |||   AM:['4.083333333333333']
Date|Time: 2024-06-19|15:22:48  |||  3 Sensors acitve  |||   AM:['4.083333333333333']
Date|Time: 2024-06-19|15:22:53  |||  3 Sensors acitve  |||   AM:['4.083333333333333']
Date|Time: 2024-06-19|15:22:58  |||  3 Sensors acitve  |||   AM:['4.083333333333333']
Date|Time: 2024-06-19|15:23:03  |||  3 Sensors acitve  |||   AM:['4.083333333333333']
Date|Time: 2024-06-19|15:23:08  |||  3 Sensors acitve  |||   AM:['4.083333333333333']
Date|Time: 2024-06-19|15:23:13  |||  3 Sensors acitve  |||   AM:['4.083333333333333']
Date|Time: 2024-06-19|15:23:18  |||  3 Sensors acitve  |||   AM:['4.083333333333333']
Date|Time: 2024-06-19|15:23:23  |||  3 Sensors acitve  |||   AM:['4.083333333333333']
Date|Time: 2024-06-19|15:23:29  |||  3 Sensors acitve  |||   AM:['4.083333333333333']
Date|Time: 2024-06-19|15:23:34  |||  3 Sensors acitve  |||   AM:['4.083333333333333']
Date|Time: 2024-06-19|15:23:39  |||  3 Sensors acitve  |||   AM:['4.083333333333333']
Date|Time: 2024-06-19|15:23:44  |||  3 Sensors acitve  |||   AM:['4.083333333333333']
Date|Time: 2024-06-19|15:23:49  |||  3 Sensors acitve  |||   AM:['4.083333333333333']
Date|Time: 2024-06-19|15:23:54  |||  3 Sensors acitve  |||   AM:['4.083333333333333']
Date|Time: 2024-06-19|15:23:59  |||  3 Sensors acitve  |||   AM:['4.083333333333333']
Date|Time: 2024-06-19|15:24:04  |||  3 Sensors acitve  |||   AM:['4.083333333333333']
Date|Time: 2024-06-19|15:24:09  |||  3 Sensors acitve  |||   AM:['4.083333333333333']
Date|Time: 2024-06-19|15:24:14  |||  3 Sensors acitve  |||   AM:['4.083333333333333']
Date|Time: 2024-06-19|15:24:19  |||  3 Sensors acitve  |||   AM:['4.083333333333333']
Date|Time: 2024-06-19|15:24:24  |||  3 Sensors acitve  |||   AM:['4.083333333333333']
Date|Time: 2024-06-19|15:24:29  |||  3 Sensors acitve  |||   AM:['4.083333333333333']
Date|Time: 2024-06-19|15:24:34  |||  3 Sensors acitve  |||   AM:['4.083333333333333']
Date|Time: 2024-06-19|15:24:39  |||  3 Sensors acitve  |||   AM:['4.083333333333333']
Date|Time: 2024-06-19|15:24:44  |||  3 Sensors acitve  |||   AM:['4.083333333333333']
Date|Time: 2024-06-19|15:24:49  |||  3 Sensors acitve  |||   AM:['4.083333333333333']
Date|Time: 2024-06-19|15:24:54  |||  3 Sensors acitve  |||   AM:['4.083333333333333']
Date|Time: 2024-06-19|15:25:00  |||  3 Sensors acitve  |||   AM:['4.083333333333333']
Date|Time: 2024-06-19|15:25:05  |||  3 Sensors acitve  |||   AM:['4.083333333333333']
Date|Time: 2024-06-19|15:25:10  |||  3 Sensors acitve  |||   AM:['4.083333333333333']
Date|Time: 2024-06-19|15:25:15  |||  3 Sensors acitve  |||   AM:['4.083333333333333']
Date|Time: 2024-06-19|15:25:20  |||  3 Sensors acitve  |||   AM:['4.083333333333333']
Date|Time: 2024-06-19|15:25:25  |||  3 Sensors acitve  |||   AM:['4.083333333333333']
Date|Time: 2024-06-19|15:25:30  |||  3 Sensors acitve  |||   AM:['4.083333333333333']
Date|Time: 2024-06-19|15:25:35  |||  3 Sensors acitve  |||   AM:['4.083333333333333']
Date|Time: 2024-06-19|15:25:40  |||  3 Sensors acitve  |||   AM:['4.083333333333333']
